kode_provinsi,nama_provinsi,persentase_penduduk_miskin,garis_kemiskinan_maret,garis_kemiskinan_september,jumlah_penduduk_miskin_maret,jumlah_penduduk_miskin_september,persentase_penduduk_miskin_september,imunisasi_hb0,imunisasi_bcg,imunisasi_dpt_hb_hib,imunisasi_polio,imunisasi_campak_rubella,jumlah_sampel_imunisasi
11,Aceh,14.45,627534.0,NaN,806.75,NaN,NaN,49.3,35.9,22.8,5.6,18.5,359
12,Sumatera Utara,8.15,602999.0,NaN,1239.71,NaN,NaN,69.4,72.2,60.5,26.6,51.6,1025
13,Sumatera Barat,5.95,667925.0,NaN,340.37,NaN,NaN,75.3,70.6,50.9,20.7,42.4,351
14,Riau,6.68,658611.0,NaN,485.66,NaN,NaN,74.5,71.1,57.3,18.4,46.1,445
15,Jambi,7.58,599688.0,NaN,280.68,NaN,NaN,86.3,89.0,79.2,31.5,66.5,216
16,Sumatera Selatan,11.78,520754.0,NaN,1045.68,NaN,NaN,83.0,87.7,77.0,29.5,68.2,542
17,Bengkulu,14.04,637142.0,NaN,288.46,NaN,NaN,85.6,91.7,83.8,39.9,66.5,124
18,Lampung,11.11,559011.0,NaN,970.67,NaN,NaN,87.9,89.8,78.9,27.8,71.8,581
19,Kepulauan Bangka Belitung,4.52,874204.0,NaN,68.69,NaN,NaN,85.2,85.6,72.5,32.4,61.2,86
21,Kepulauan Riau,5.69,742526.0,NaN,142.5,NaN,NaN,92.9,90.6,85.7,53.7,68.3,129
31,Dki Jakarta,4.44,792515.0,NaN,477.83,NaN,NaN,95.1,93.7,81.1,48.6,65.8,602
32,Jawa Barat,7.62,495229.0,NaN,3888.6,NaN,NaN,90.6,90.7,75.0,45.3,66.4,2929
33,Jawa Tengah,10.77,477580.0,NaN,3791.5,NaN,NaN,93.0,93.7,87.3,61.1,79.5,2022
34,Di Yogyakarta,11.04,573022.0,NaN,448.47,NaN,NaN,99.2,98.0,94.3,75.4,87.8,163
35,Jawa Timur,10.35,507286.0,NaN,4188.81,NaN,NaN,94.6,93.6,84.7,57.6,75.8,1967
36,Banten,6.17,618721.0,NaN,826.13,NaN,NaN,80.5,80.9,58.8,31.6,51.9,702
51,Bali,4.25,529643.0,NaN,193.78,NaN,NaN,97.6,98.1,97.0,80.0,88.8,242
52,Nusa Tenggara Barat,13.85,498996.0,NaN,751.23,NaN,NaN,92.9,93.9,76.5,39.8,69.9,388
53,Nusa Tenggara Timur,19.96,507203.0,NaN,1141.11,NaN,NaN,82.3,84.1,77.7,41.2,67.8,421
61,Kalimantan Barat,6.71,563288.0,NaN,353.35,NaN,NaN,78.4,77.5,66.1,30.4,53.7,311
62,Kalimantan Tengah,5.11,596184.0,NaN,142.17,NaN,NaN,81.0,82.6,71.3,36.7,64.0,192
63,Kalimantan Selatan,4.29,604266.0,NaN,188.93,NaN,NaN,85.8,81.7,66.3,47.0,54.9,243
64,Kalimantan Timur,6.11,790186.0,NaN,231.07,NaN,NaN,88.3,88.2,76.7,44.4,62.5,229
65,Kalimantan Utara,6.45,817876.0,NaN,47.97,NaN,NaN,87.4,90.3,85.1,43.2,77.5,47
71,Sulawesi Utara,7.38,463432.0,NaN,189.0,NaN,NaN,81.1,85.3,77.3,52.5,65.8,138
72,Sulawesi Tengah,12.41,568248.0,NaN,395.66,NaN,NaN,76.4,79.4,67.1,25.5,57.1,196
73,Sulawesi Selatan,8.7,436025.0,NaN,788.85,NaN,NaN,83.5,85.5,73.8,39.4,62.7,584
74,Sulawesi Tenggara,11.43,443980.0,NaN,321.53,NaN,NaN,79.5,82.8,75.4,29.1,61.5,190
75,Gorontalo,15.15,442194.0,NaN,183.71,NaN,NaN,88.1,89.1,73.4,42.2,75.3,83
76,Sulawesi Barat,11.49,433131.0,NaN,164.14,NaN,NaN,77.6,78.4,68.6,21.8,58.6,108
81,Maluku,16.42,684020.0,NaN,301.61,NaN,NaN,62.8,69.7,56.1,26.7,45.8,126
82,Maluku Utara,6.46,564733.0,NaN,83.8,NaN,NaN,70.6,72.6,58.1,23.4,49.1,87
91,Papua Barat,20.49,728619.0,NaN,214.98,NaN,NaN,63.5,63.3,54.1,28.0,43.7,54
92,Papua Barat Daya,NaN,NaN,NaN,NaN,NaN,NaN,69.5,69.7,58.2,30.7,49.5,46
94,Papua,26.03,686469.0,NaN,915.15,NaN,NaN,78.8,83.8,70.0,47.1,62.4,85
95,Papua Selatan,NaN,NaN,NaN,NaN,NaN,NaN,65.0,80.0,70.1,47.5,64.3,55
96,Papua Tengah,NaN,NaN,NaN,NaN,NaN,NaN,24.0,26.1,23.4,12.9,19.3,75
97,Papua Pegunungan,NaN,NaN,NaN,NaN,NaN,NaN,17.0,20.5,11.3,4.0,12.9,60
