Kategori,Ranking,Provinsi,Nilai
Termiskin,1,Papua,26.03
Termiskin,2,Papua Barat,20.49
Termiskin,3,Nusa Tenggara Timur,19.96
Termiskin,4,Maluku,16.42
Termiskin,5,Gorontalo,15.15
Termakmur,1,Bali,4.25
Termakmur,2,Kalimantan Selatan,4.29
Termakmur,3,Dki Jakarta,4.44
Termakmur,4,Kepulauan Bangka Belitung,4.52
Termakmur,5,Kalimantan Tengah,5.11
Imunisasi Terbaik,1,Bali,92.3
Imunisasi Terbaik,2,Di Yogyakarta,90.94
Imunisasi Terbaik,3,Jawa Tengah,82.92
Imunisasi Terbaik,4,Jawa Timur,81.26
Imunisasi Terbaik,5,Kepulauan Riau,78.24
Imunisasi Terburuk,1,Papua Pegunungan,13.14
Imunisasi Terburuk,2,Papua Tengah,21.14
Imunisasi Terburuk,3,Aceh,26.419999999999995
Imunisasi Terburuk,4,Papua Barat,50.52
Imunisasi Terburuk,5,Sumatera Barat,51.98
